token_type,token_address,receiver,value
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xd24c941f5edbe451395544658c0df6df056c6ad0,280000.947900000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x0de156cb2202c682b41d3fbe8b785238ecf3f647,224455.199400000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xf17e325f34bb4f2401a67cdb58025ed9947ee198,200150.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xe2f3c30b753f71bdbf1258d6e09fd3d2adf549db,200000.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xce4d4bf74cf639d99c26803f6dbc0a8054329c16,188761.011600000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x5bffcd8f4809e29bcace4c9c21e0c3b6963ecec1,167180.902500000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xeb4872b4c995f6613077090438eae69cfeff142f,158608.530698562141459083
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xa1bc9f613297fe6201da0ffe5bf7f086a51cc365,133889.189700000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x3f4d0a6654c8365b42dcaa8aa92d9034e2a6141f,128877.199200000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xe4126fd057ab2fc08b6ce2621de4c3bc56464101,111896.171100000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xe0e03ba22e14776dc972a50e6cca5ceedb3b972c,110808.138700000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x107cd74419dfc9ff01975e652597c5a4b6706460,104728.347500000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xb5ebf7fac6f40583261758a7347e8eaa41935524,103029.133100000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xf3551c1d8ac61569e482abc05eefae4cccef32c1,100106.057598074920973683
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x8d339490827b323295da0a003096e18b0dd99a2f,81993.705200000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x542af4dda22ae22bae41ea32fafcfb6af00d8ac5,81715.201000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xde5701c91e479888878f9aebf1decc0b10d88cb5,67194.205000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x9254dc142566bbdefa0d44411d67cc47d3ce41bf,65856.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x2916d837b5f3d4e83df9c6db717356bd89c6e9a5,58594.910700000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xfd645ae7ff27585a9a526ca27731271c8cf8ea5c,53135.453000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x03f182ec7474877ec8d830a5fcb804fd132755c1,51250.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x18376a0e6f2975013d2866407ea4f4e2ff01b510,48447.461700000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xbf45dd1bca8067769494b935c69763ca29de85a0,45767.183200000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x09e3c4bf50a15225d4087fe089282cb5506dcce6,44792.419200000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x2b7d141a63ebab9ee78dfb312874859933033895,40263.298900000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xc1196c46559203fe1e3ffe05009fde59795a6385,36973.539700000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x05c9f9ea62c3c69ddf7221446d7dbf4e04b0c408,36885.174900000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xc866b55ab835ee33a2bcd71c9a3ea2e364df3a3e,30471.255200000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x9a1e402d39cb2d49cf23e6767c6458126ea24631,30000.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xb2307a911a5acb113813032e8fa1f76665198ef7,28550.747200000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x3e98b3623592b52eb2ddcf36a4ce9a9d48df57ef,25658.219800000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x4abe0903ee68883e693293037973f5926827eb03,24496.982900000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x0ab89d33cc455105c56a6e9381bde16e0d6d9e40,23776.475700000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x3cefb79af1f4126dc679d52f5f7458a25ce74b42,23235.967400000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xc846b4532249ba200a2f40b011aa8a770266bac2,22969.989900000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x66a204d402e14c5b7b5bf9b6d8f2c4c34353a3cd,21428.829800000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xae60a8cbc37cfde7ae14047c95bdca81aa159ae0,20733.615400000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x697d13930a51a7a9dede42e48fcb0b7043918917,20240.567300000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xb054675add7062e2a708ba7c211fb0ec1f56b8fa,20150.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xff79ad62d19066e43b99eed19f94e11b0e0b5688,19647.453571538448890056
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x20f77d1e0b152197483aa088467bd2eb81c3757d,19502.168200000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x90f659686262a2149dfeb4b6ef88edc8fcc4e05a,18879.990300000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x27643f4e2b35a18bcd55252e88f13039f4f81927,18588.510200000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x040d4205b3b23151c5df8076c15ce830332b97fd,18587.518300000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xd23cca1d288eaded8667a7d4765d0033641f4c60,18254.609900000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x896db7c827e6dc3635f659dae77cd04b8d6cd5e3,18168.121200000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x3e1a12a6019ee26418f22b656926fe38f5e58c5f,17875.453000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xa6cf43fe0b47d5da8f03258b37f1caf148955019,17812.491000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xc7b169b108c5e75991c520aea97140534291c81d,17460.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xbe1d706baf3aff088c7c6ee32f6012fa71003d97,16917.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x2e31bd290416f095db77c56cb2a2ce7ea4511872,16150.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xc9e3d84e62cc145ff76fd90859cbd46b5c665941,16150.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xeeb07fafcb5761394be481f03f1048aab0deadc4,16000.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x1cccede48295654b7e48333b47f54d24c4d612d9,16000.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x9d8c00b16906a78943c66f1f976a98e4e7a36909,16000.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x045795ff0b8c353290a900654514032e92c289b7,15999.800000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x95f3dadaa5c781de9aa453830d4e689d57937f82,15919.409400000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x7f83b0668cfd2ffcade1812801106fbd05fa480a,15450.974900000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xedf3b7578a521d5939d8d508e0706ad88fe55baf,15169.203400000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xccebe8104a3aa1a440461f5f4f6c38fbdfb30802,14596.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xe9bd415d5d543b5d4fe12ac2baa52cd9ca026f46,13829.133100000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x35e939c53b208ccec114c6b92f6d754b023dff4d,12514.650000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x034e1f7a66b582b68e511b325ed0ccb71bb4bc12,12289.799500000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xb817f347cc5dc77dabeb45dc071dc4ca80b28e16,11983.758031333590
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xe3ac40fb0e6421bdb3426aaa957edf3ccb34bf1a,11751.008800000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x8e118bbffdcc009b1d46423868f7a49f8bcbbfcc,11482.265700000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xa3176cdb52dd85290e72b2c486cf6149ab38fd32,10516.510000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x4a2dd4b190b6dee6939709278b659ed5ffcb9d92,10175.464700000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x2f595c056e785e13579128df27cad2968d034ba4,10137.000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x0bc99b862e5545d181cc7bfa71720712527aceee,10106.355600000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xcf43e9a2f9ed4810de89ae08d88445d8ccf63ab1,9258.8893000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x13b0d26d0703cd7a13a52e4bfb90a48887e559a6,9022.2798000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x6ae40a6fd30b9e627a1314d2fadc4ed96d34dbd7,8740.7568000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x6be27f6f4c3ec75a3e5866ac4f877d5ea9ac363d,8357.6000000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0xa0837778bc9a735924bcf4c98e64af6e8de42cf4,7998.0000000000000000
erc20,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,0x89de01e46274b69585dbaa45dd81c42c4bd372e1,7822.4868000000000000
